id,contract,completed,notcompleted,name,INN,SB,government
2612805108,6,6,0,"ооо конвент арт",7713669622,1,0
2612805109,19,19,0,"ооо система01",9710036230,1,0
2612805113,18,18,0,"общество с ограниченной ответственностью русбиотэк",7720816204,1,0
2612805117,25,25,0,"общество с ограниченной ответственностью торговый дом зевс",7722351995,1,0
2612805120,28,28,0,"общество с ограниченной ответственностью медицинские технологии",7731623155,0,0
2612805122,15,15,0,"ооо мкс",7722405633,0,0
2612805124,43,43,0,"общество с ограниченной ответственностью диапарк",7718556679,1,0
2612805128,28,28,0,"общество с ограниченной ответственностью гдагрупп",7743247547,1,0
2612805129,68,65,3,"ооо эл и ди групп",7715894856,1,0
2612805130,51,51,0,"общество с ограниченной ответственностью екатерина вторая",7737524369,1,0
2612805131,9,9,0,"общество с ограниченной ответственностью бис",7726713325,0,0
2612805132,28,28,0,"общество с ограниченной ответственностью высокие технологии",7842322403,1,0
2612805133,43,43,0,"общества с ограниченной ответственностью медиафасад",4217185001,0,0
2612805136,24,24,0,"общество с ограниченной ответственностью наш профиль",1215139491,1,0
2612805137,28,28,0,"общество с ограниченной ответственностью регионсвязь",7718901526,0,0
2612805138,8,8,0,"общество с ограниченной ответственностью айти кампания",5036091787,1,0
2612805139,44,44,0,"общество с ограниченной ответственностью центр образовательной деятельности и лицензирования минмакс",7734706561,1,0
2612805141,31,31,0,"общество с ограниченной ответственностью группа строительной комплектации урал",6686084027,0,0
2612805142,45,45,0,"общество с ограниченной ответственностью энергоснабкомплект",7721297992,0,0
2612805143,30,30,0,"общество с ограниченной ответственностью универсалстрой",7743259623,1,0
2612805145,46,46,0,"общество с ограниченной ответственностью прайм",7705552885,1,0
2612805147,38,38,0,"общество с ограниченной ответственностью босиком",7727804991,1,0
2612805148,32,32,0,"ооо снабгрупп",7731335485,1,0
2612805150,38,38,0,"общество с ограниченной ответственностью фирма русское раздолье",7703520895,0,0
2612805151,29,29,0,"общество с ограниченной ответственностью армада",5027229076,0,0
2612805154,35,35,0,"общество с ограниченной ответственностью балашихинский завод криогенного машиностроения",5001051014,1,0
2612805158,61,58,3,"общество с ограниченной ответственностью лотос профи",9715313791,1,0
2612805163,50,50,0,"закрытое акционерное общество аптека столичная",7704097520,0,0
2612805165,58,55,3,"общество с ограниченной ответственностью инбрэс",2130023771,1,0
2612805167,9,9,0,"ооо общее дело",2465213118,1,0
2612805172,10,10,0,"акционерное общество лантек кабельные системы",7703720100,1,0
2612805174,49,49,0,"общество с ограниченной ответственностью лоиснэт",5008050299,1,0
2612805175,27,27,0,"некоммерческая организация доверительный образовательный фонд",7706510310,0,0
2612805181,45,45,0,"ооо мис",9701035456,0,0
2612805184,36,36,0,"общество с ограниченной ответственностью тимпро",7722837182,1,0
2612805189,32,32,0,"общество с ограниченной ответственностью лкин дом",7733730219,1,0
