id,status,contract,completed,notcompleted,name,INN,SB,government
2612803258,1,55,55,0,"общество с ограниченной ответственностью международный консалтинговый центр",7727591609,1,0
2612803260,0,7,3,4,"общество с ограниченной ответственностью квест",7720426250,0,0
2612803262,0,5,2,3,"общество с ограниченной ответственностью корпорация лестниц",5053046400,1,0
2612803263,0,1,0,1,"общество с ограниченной ответственностью медкомэкспоторг",1657136391,1,0
2612803264,0,1,0,1,"общество с ограниченной ответственностью кбк систем",7709911486,0,0
2612803267,0,10,3,7,"автономная некоммерческая организация центр детскоюношеского творчества развитие",6234991870,0,0
2612803270,0,7,3,4,"общество с ограниченной ответственностью текстура",7720379106,1,0
2612803271,0,1,0,1,"акционерное общество аякс инжиниринг",7706736733,1,0
2612803272,0,7,3,4,"общество с ограниченной ответственностью медэкс",9715230986,0,0
2612803274,0,1,0,1,"общества с ограниченной ответственностью зевс",7734412850,0,0
2612803275,0,7,3,4,"общества с ограниченной ответственностьютк астра",7736540135,1,0
2612803276,0,5,2,3,"общество с ограниченной ответственностью логистикасервис",7714133721,1,0
2612803277,0,10,3,7,"общество с ограниченной ответственностью лайв нэйшн",7730636190,1,0
2612803278,0,1,0,1,"общество с ограниченной ответственностью лукрастрой",5024142229,1,0
2612803279,0,5,2,4,"ооо артспейс групп",7723404713,0,0
2612803282,0,7,3,4,"общество с ограниченной ответственностью русьстройкомфорт",7734584169,1,0
2612803286,0,5,2,3,"общество с ограниченной ответственностью мсп",7715998870,1,0
2612803287,0,1,0,1,"общество с ограниченной ответственностью мосгипрострой",7703714837,1,0
2612803289,0,1,0,1,"общество с ограниченной ответственностью элдис",5036130588,1,0
2612803290,0,10,3,7,"ооо пкц турлюкс",7724154079,1,0
2612803291,0,5,2,3,"автономная некоммерческая организация центр спортивнодосугового образования",7722400360,0,0
2612803292,0,7,3,4,"общество с ограниченной ответственностью цирковое агентство лебедева",7729488861,1,0
2612803293,0,5,2,3,"общество с ограниченной ответственностью семейная стоматология",7723746594,0,0
2612803295,0,1,0,1,"общество с ограниченной ответственностью отадоя",5407233216,1,0
